iter	Logloss
0	0.6241217547
1	0.5950857248
2	0.5649857198
3	0.5458245612
4	0.5318545103
5	0.5239522327
6	0.5173571709
7	0.5130543654
8	0.5091176631
9	0.5064478759
10	0.5032168882
11	0.5011715255
12	0.5000513719
13	0.4987109704
14	0.4978749376
15	0.4969035176
16	0.4960616539
17	0.4953495187
18	0.4949527168
19	0.4945806955
20	0.4940283036
21	0.4936988843
22	0.4933738932
23	0.4930252984
24	0.4927321409
25	0.4924840379
26	0.4922666166
27	0.4919321569
28	0.491775469
29	0.4915920484
30	0.491146538
31	0.4910381328
32	0.4909516638
33	0.490843894
34	0.4907274018
35	0.4906078856
36	0.4905211188
37	0.490431295
38	0.4903359851
39	0.4901052971
40	0.49000879
41	0.4899483678
42	0.4895999597
43	0.4894858549
44	0.4894174055
45	0.4893133715
46	0.489240153
47	0.4891593845
48	0.4890569336
49	0.4890004152
50	0.4889203283
51	0.4888035945
52	0.4887603879
53	0.4886937684
54	0.4886282815
55	0.4885810784
56	0.4885196224
57	0.4884271593
58	0.4883914118
59	0.4883484051
60	0.4882930886
61	0.4882287247
62	0.4881488224
63	0.4880993453
64	0.4880582465
65	0.4879984978
66	0.4879508121
67	0.4879093359
68	0.4878837207
69	0.4878041295
70	0.4877892411
71	0.4877731372
72	0.4877544089
73	0.4877180995
74	0.4876819471
75	0.4876647578
76	0.4876334876
77	0.4876239057
78	0.4875811298
79	0.4875424881
80	0.4874912732
81	0.4874454147
82	0.4874390442
83	0.4874247777
84	0.4873863831
85	0.4873843465
86	0.4873585819
87	0.4873423035
88	0.4872658513
89	0.4872372656
90	0.4872078462
91	0.4871865235
92	0.487150109
93	0.4871115048
94	0.4870793791
95	0.4870729804
96	0.4870339149
97	0.4870137507
98	0.4870038032
99	0.4869204331
100	0.4868738244
101	0.4868403094
102	0.4868153012
103	0.4868017115
104	0.4867897085
105	0.4867611254
106	0.4867403956
107	0.4866863272
108	0.4866338292
109	0.4865709263
110	0.486556234
111	0.4864100116
112	0.4863403444
113	0.4863135071
114	0.4863037413
115	0.4862458023
116	0.4862156222
117	0.4861927271
118	0.4861525226
119	0.4861496808
120	0.486121367
121	0.4861026552
122	0.4860709786
123	0.4860455205
124	0.4860178839
125	0.4860090242
126	0.4859508371
127	0.4859378036
128	0.4859243171
129	0.4858704967
130	0.4858477975
131	0.4858385352
132	0.4858121666
133	0.4857693411
134	0.4857621959
135	0.4857221259
136	0.4856502321
137	0.4855983351
138	0.4855585969
139	0.4855467339
140	0.4855161261
141	0.4854860837
142	0.4854652442
143	0.4854490549
144	0.4854305404
145	0.4854242734
146	0.4854149892
147	0.4853804309
148	0.4853689443
149	0.4853372533
150	0.4852944171
151	0.4852597933
152	0.4852437288
153	0.4852206368
154	0.485205877
155	0.485157349
156	0.4851555634
157	0.4851524343
158	0.4851332824
159	0.4851293688
160	0.4851086071
161	0.4850892103
162	0.4850539625
163	0.485020879
164	0.4850097893
165	0.4849724227
166	0.4849672928
167	0.4849415172
168	0.4849030904
169	0.484897038
170	0.4848902064
171	0.4848679355
172	0.4848508297
173	0.4848140533
174	0.4847970972
175	0.4847784971
176	0.4847553926
177	0.4847508756
178	0.484720319
179	0.4846878604
180	0.4846840882
181	0.4846821728
182	0.4846406413
183	0.4845969433
184	0.4845827141
185	0.4845541548
186	0.484525369
187	0.4845083811
188	0.4844846533
189	0.4844835521
190	0.484474233
191	0.4844679378
192	0.4844557857
193	0.4844426711
194	0.4844133732
195	0.4843668332
196	0.4843596267
197	0.4843190667
198	0.4842882101
199	0.4842564583
200	0.4842458945
201	0.4842350667
202	0.4842063489
203	0.4841626696
204	0.4841203954
205	0.4841176753
206	0.4840783223
207	0.4840388548
208	0.4840129103
209	0.4840015009
210	0.4839775134
211	0.4839444069
212	0.4839411848
213	0.4839336844
214	0.4839169591
215	0.4839085045
216	0.4838875333
217	0.4838630229
218	0.483835526
219	0.4837262205
220	0.4837041302
221	0.483697379
222	0.4836949614
223	0.4836661808
224	0.4836472802
225	0.4836390103
226	0.4836344623
227	0.4836089297
228	0.4835880706
229	0.4835533018
230	0.4835357533
231	0.4835251239
232	0.4835241146
233	0.4834998721
234	0.4834831345
235	0.4834715035
236	0.4834398403
237	0.4834341379
238	0.4834224072
239	0.4833979335
240	0.4833697923
241	0.4833640175
242	0.483345359
243	0.4833121618
244	0.4832850076
245	0.4832748711
246	0.483267195
247	0.4832277139
248	0.4832257459
249	0.4831788206
250	0.4831604221
251	0.4831392649
252	0.4831345121
253	0.4831149038
254	0.4831042446
