iter	Passed	Remaining
0	300	300512
1	446	222742
2	568	189021
3	708	176477
4	864	172126
5	982	162829
6	1144	162325
7	1291	160154
8	1415	155900
9	1546	153110
10	1701	152992
11	1844	151861
12	1998	151730
13	2144	151058
14	2291	150466
15	2426	149250
16	2553	147651
17	2698	147226
18	2840	146645
19	2978	145928
20	3134	146143
21	3309	147110
22	3454	146755
23	3601	146441
24	3740	145882
25	3877	145239
26	4017	144773
27	4152	144142
28	4284	143452
29	4427	143160
30	4551	142281
31	4696	142065
32	4846	142005
33	4998	142013
34	5148	141942
35	5289	141651
36	5447	141778
37	5575	141152
38	5713	140785
39	5849	140388
40	6023	140894
41	6181	141005
42	6382	142054
43	6538	142055
44	6684	141861
45	6833	141714
46	6986	141663
47	7138	141575
48	7286	141416
49	7430	141184
50	7583	141106
51	7710	140565
52	7864	140529
53	8030	140675
54	8195	140809
55	8342	140637
56	8512	140836
57	8656	140593
58	8803	140412
59	8955	140295
60	9137	140659
61	9300	140713
62	9427	140217
63	9580	140118
64	9740	140113
65	9899	140091
66	10073	140276
67	10221	140094
68	10381	140080
69	10537	139996
70	10688	139858
71	10830	139588
72	10961	139194
73	11115	139094
74	11259	138861
75	11420	138849
76	11508	137949
77	11675	138007
78	11812	137712
79	11994	137931
80	12155	137913
81	12318	137904
82	12399	136991
83	12556	136924
84	12728	137015
85	12805	136097
86	12938	135778
87	13197	136769
88	13355	136709
89	13509	136599
90	13672	136578
91	13816	136361
92	13986	136401
93	14146	136352
94	14290	136135
95	14437	135957
96	14567	135610
97	14706	135363
98	14855	135203
99	15039	135358
100	15179	135109
101	15339	135050
102	15530	135252
103	15683	135116
104	15845	135065
105	15996	134910
106	16152	134807
107	16292	134564
108	16454	134507
109	16644	134672
110	16804	134584
111	16958	134455
112	17117	134362
113	17272	134241
114	17420	134064
115	17577	133951
116	17746	133935
117	17910	133876
118	18068	133766
119	18233	133710
120	18369	133443
121	18505	133176
122	18655	133015
123	18796	132788
124	18948	132639
125	19093	132445
126	19253	132351
127	19406	132207
128	19553	132026
129	19698	131827
130	19875	131843
131	20011	131587
132	20181	131562
133	20325	131357
134	20468	131148
135	20615	130966
136	20767	130820
137	20922	130690
138	21092	130650
139	21240	130479
140	21393	130333
141	21536	130127
142	21692	130000
143	21848	129879
144	22003	129747
145	22166	129661
146	22337	129616
147	22492	129483
148	22661	129429
149	22844	129452
150	23019	129425
151	23179	129319
152	23349	129260
153	23537	129304
154	23710	129261
155	23855	129064
156	24005	128897
157	24172	128817
158	24358	128840
159	24515	128704
160	24679	128608
161	24835	128468
162	24997	128360
163	25144	128176
164	25339	128232
165	25487	128049
166	25636	127875
167	25801	127777
168	25962	127660
169	26129	127571
170	26273	127371
171	26569	127904
172	26741	127835
173	26915	127771
174	27104	127779
175	27271	127678
176	27473	127742
177	27642	127653
178	27832	127654
179	27992	127520
180	28113	127210
181	28267	127046
182	28456	127044
183	28617	126910
184	28786	126815
185	28950	126696
186	29149	126728
187	29305	126573
188	29476	126485
189	29634	126334
190	29776	126119
191	29926	125940
192	30127	125971
193	30309	125924
194	30486	125856
195	30657	125760
196	30799	125544
197	30948	125357
198	31119	125258
199	31281	125125
200	31444	124995
201	31603	124848
202	31789	124810
203	31975	124769
204	32132	124613
205	32301	124500
206	32470	124391
207	32640	124283
208	32803	124149
209	33076	124430
210	33256	124357
211	33425	124240
212	33593	124122
213	33747	123951
214	33895	123756
215	34066	123647
216	34251	123589
217	34432	123515
218	34587	123346
219	34767	123267
220	34942	123168
221	35128	123107
222	35435	123469
223	35627	123423
224	35814	123360
225	35995	123275
226	36147	123092
227	36324	122994
228	36493	122866
229	36661	122736
230	36849	122671
231	37071	122719
232	37263	122665
233	37424	122509
234	37605	122419
235	37788	122332
236	38009	122369
237	38169	122205
238	38340	122078
239	38529	122009
240	38679	121817
241	38840	121657
242	39009	121523
243	39187	121417
244	39347	121255
245	39517	121121
246	39673	120947
247	39832	120783
248	39965	120537
249	40138	120415
250	40299	120256
251	40466	120113
252	40600	119875
253	40773	119752
254	40925	119566
255	41107	119469
256	41274	119326
257	41436	119170
258	41649	119158
259	41811	119000
260	41949	118777
261	42108	118610
262	42269	118450
263	42426	118280
264	42583	118110
265	42724	117895
266	42897	117768
267	43070	117641
268	43242	117509
269	43441	117451
270	43630	117368
271	43796	117220
272	43943	117021
273	44141	116958
274	44301	116793
275	44464	116638
276	44663	116577
277	44821	116407
278	44974	116225
279	45179	116177
280	45348	116032
281	45504	115860
282	45686	115749
283	45839	115567
284	46044	115514
285	46237	115433
286	46415	115310
287	46584	115166
288	46748	115010
289	46903	114833
290	47043	114617
291	47209	114467
292	47390	114351
293	47547	114177
