iter	Passed	Remaining
0	141	282887
1	277	277587
2	418	278862
3	576	287634
4	720	287337
5	874	290467
6	1004	285863
7	1149	286301
8	1278	282877
9	1408	280384
10	1537	278043
11	1680	278364
12	1824	278812
13	1987	281952
14	2146	284003
15	2295	284626
16	2435	284065
17	2574	283482
18	2723	283967
19	2867	283888
20	3020	284613
21	3139	282236
22	3278	281787
23	3412	280952
24	3562	281437
25	3687	279988
26	3814	278769
27	3933	277024
28	4075	276976
29	4224	277438
30	4375	277922
31	4529	278578
32	4671	278445
33	4812	278248
34	4951	277990
35	5108	278699
36	5260	279075
37	5408	279228
38	5479	275526
39	5697	279174
40	5848	279467
41	5982	278877
42	6105	277873
43	6266	278584
44	6422	279001
45	6593	280082
46	6735	279870
47	6913	281129
48	7098	282651
49	7249	282713
50	7414	283342
51	7618	285382
52	7746	284564
53	7936	286014
54	8110	286804
55	8293	287891
56	8434	287509
57	8550	286297
58	8684	285714
59	8816	285050
60	8961	284861
61	9103	284557
62	9237	284009
63	9394	284196
64	9539	283996
65	9702	284312
66	9848	284134
67	9969	283265
68	10091	282421
69	10207	281425
70	10400	282562
71	10564	282904
72	10703	282541
73	10842	282210
74	11033	283192
75	11191	283325
76	11351	283503
77	11500	283394
78	11676	283938
79	11809	283429
80	11981	283849
81	12128	283696
82	12328	284734
83	12493	284973
84	12683	285755
85	12870	286450
86	13023	286360
87	13181	286396
88	13340	286436
89	13513	286796
90	13654	286441
91	13810	286416
92	13948	286013
93	14027	284435
94	14184	284446
95	14352	284648
96	14509	284656
97	14662	284580
98	14813	284457
99	14899	283093
100	15044	282873
101	15231	283417
102	15412	283861
103	15613	284638
104	15684	283063
105	15822	282716
106	16008	283219
107	16164	283174
108	16337	283439
109	16495	283424
110	16656	283453
111	16814	283452
112	16917	282507
113	17073	282468
114	17253	282804
115	17413	282821
116	17578	282911
117	17741	282956
118	17895	282861
119	18051	282801
120	18227	283049
121	18404	283308
122	18566	283327
123	18729	283365
124	18884	283266
125	19056	283427
126	19190	283019
127	19351	283020
128	19522	283145
129	19655	282732
130	19804	282556
131	19911	281772
132	20078	281852
133	20274	282332
134	20451	282535
135	20603	282383
136	20771	282468
137	20913	282178
138	21081	282247
